type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
2,8,13,2,2,1,2,2,diamondfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
2,9,0,1,1,1,2,2,starempty.png,image,1,greenCell,moonempty.png,image,2,greenCell,,,,,,,,,,,,
2,9,0,1,2,1,2,2,tearempty.png,image,1,magentaCell,halfsquarefilled.png,image,2,magentaCell,,,,,,,,,,,,
2,9,1,2,1,1,2,2,,text,1,greenCell,halfsquarefilled.png,image,2,greenCell,0,2,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,2,2,2,1,2,2,,text,1,magentaCell,tearempty.png,image,2,magentaCell,0,2,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,3,2,1,1,2,2,starempty.png,image,1,greenCell,,text,2,greenCell,1,1,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,4,2,2,1,2,2,,text,1,magentaCell,starempty.png,image,2,magentaCell,0,2,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,5,2,2,1,2,2,,text,1,magentaCell,halfsquarefilled.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,6,2,2,1,2,2,,text,1,magentaCell,halfsquarefilled.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,7,2,2,1,2,2,,text,1,magentaCell,circleempty.png,image,2,magentaCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,8,2,2,1,2,2,,text,1,magentaCell,squarefilled.png,image,2,magentaCell,0,3,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,9,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,0,2,1,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,10,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,1,1,0,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,11,2,1,1,2,2,,text,1,greenCell,tearempty.png,image,2,greenCell,0,2,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,12,2,2,1,2,2,,text,1,magentaCell,halfsquarefilled.png,image,2,magentaCell,1,1,1,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,9,13,2,2,1,2,2,,text,1,magentaCell,halfsquarefilled.png,image,2,magentaCell,1,1,0,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
2,10,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
